roi_policy,focus_bin,stageA_balanced_acc,end_to_end_mae_um,within_0.5um_pct,within_1um_pct,n
center_top1,<=0.5,0.8816256193394688,0.1968717124258984,96.29062087186261,99.54821664464994,77562
center_top1,0.5-1.0,0.9987261351137238,0.16330121616055504,98.64164328032429,99.71351730589336,51323
center_top1,1.0-2.0,0.9990016602963236,0.17417249209030833,96.65491312290241,99.52249458345725,117706
center_top1,>2.0,0.9941952573848852,0.33139497188918,80.19543973941367,95.6758957654723,12285
random_k@k=1,<=0.5,0.8815007017949283,0.1969547900249582,96.2814720879237,99.54294470423503,77562
random_k@k=1,0.5-1.0,0.9987064664431837,0.1634839741887143,98.62407670869794,99.7096139229405,51323
random_k@k=1,1.0-2.0,0.9989657486460619,0.17438053034089857,96.63874114228422,99.51994154332421,117706
random_k@k=1,>2.0,0.9903675284659272,0.33346171940191316,80.14005374155198,95.65181988437423,12285
random_k@k=3,<=0.5,0.8815091470646272,0.19700124780767392,96.2765816933034,99.54695548804649,77562
random_k@k=3,0.5-1.0,0.9987460673472316,0.16322304719855285,98.64751622395885,99.71547171282131,51323
random_k@k=3,1.0-2.0,0.9990441551374527,0.17403801282914558,96.66256000679722,99.5267428522877,117706
random_k@k=3,>2.0,0.9954032159255983,0.3298749483904041,80.29797280794594,95.72579988602133,12285
random_k@k=5,<=0.5,0.8815685967079983,0.19697962516547038,96.26865671641791,99.54959714700831,77562
random_k@k=5,0.5-1.0,0.9987458022405336,0.16321811696178967,98.6533626956132,99.71547171282131,51323
random_k@k=5,1.0-2.0,0.9990441551374527,0.17401287922293912,96.67105654445814,99.5267428522877,117706
random_k@k=5,>2.0,0.9954453070107064,0.32953594711396983,80.32239680859725,95.7176585524709,12285
random_k@k=7,<=0.5,0.8815980205291621,0.19694479368445014,96.27526086382248,99.54695548804649,77562
random_k@k=7,0.5-1.0,0.9987654239342781,0.16311970187402544,98.6670044628067,99.7174205367061,51323
random_k@k=7,1.0-2.0,0.9990561248779486,0.17399285390773686,96.6736055057564,99.5275925060538,117706
random_k@k=7,>2.0,0.9954453070107064,0.3293805432714646,80.33867947569811,95.72579988602133,12285
focus_only_topk@k=1,<=0.5,0.8814985628350709,0.19721779322536018,96.26263293480415,99.53365479886386,77562
focus_only_topk@k=1,0.5-1.0,0.9987064664431837,0.1634065432073507,98.64551460700434,99.70571612324842,51323
focus_only_topk@k=1,1.0-2.0,0.9989483762948792,0.1744707835632047,96.63024453243156,99.51824222135369,117706
focus_only_topk@k=1,>2.0,0.9929279684008459,0.33352149092034045,79.9234714646259,95.65252788406741,12285
focus_only_topk@k=3,<=0.5,0.8815091470646272,0.19722120061550222,96.24752344472329,99.539030511161,77562
