roi_policy,bin_lo,bin_hi,mae_um,rmse_um,within_1um_pct,n_fov
center_top1,0.0,0.5,0.19664158324797937,0.2637720377106142,99.55895208073959,77364
center_top1,0.5,1.0,0.16334190245849795,0.2152135986106985,99.70383648656548,51333
center_top1,1.0,1.5,0.17243910753988956,0.22648623414418004,99.83016983016984,50054
center_top1,1.5,2.0,0.16445166000250358,0.22526612600972673,99.62309160305344,41922
center_top1,2.0,2.5,0.22323171875608597,0.33745316421222615,98.17382292804527,35710
center_top1,2.5,3.0,0.4441505749169957,0.6105524816534507,92.32907170650361,1801
center_top1,3.0,3.5,0.4488850905707009,0.6323136677688792,92.10526315789474,495
center_top1,3.5,4.0,0.5878398901376964,0.8434057202831372,84.61538461538461,117
center_top1,4.0,4.5,0.41819111237654816,0.8534156891975834,91.8918918918919,37
center_top1,4.5,5.0,0.3808612596421015,0.6420927595207526,90.47619047619048,22
center_top1,5.0,5.5,0.7376525551080704,1.168449791168157,87.5,16
center_top1,5.5,6.0,0.3946216583251953,0.5056726884254681,100.0,5
random_k@k=1,0.0,0.5,0.19675188290071083,0.2645234597237,99.55367194225548,77364
random_k@k=1,0.5,1.0,0.16330153235799735,0.21410396989998884,99.70383071587233,51333
random_k@k=1,1.0,1.5,0.17262665644344927,0.22694238887961088,99.82617035305401,50054
random_k@k=1,1.5,2.0,0.16484495779734018,0.2273893046783873,99.61593511450381,41922
random_k@k=1,2.0,2.5,0.22345710863710344,0.3386693153992237,98.17377177749145,35710
random_k@k=1,2.5,3.0,0.4456441163519468,0.6196036807962467,92.32480533926585,1801
random_k@k=1,3.0,3.5,0.4721724612664695,0.7200598507321168,91.51515151515152,495
random_k@k=1,3.5,4.0,0.6786471181445648,1.1210663484838628,82.90598290598291,117
random_k@k=1,4.0,4.5,0.36507737797659795,0.828623011267799,94.5945945945946,37
random_k@k=1,4.5,5.0,0.5902373140508478,1.2145020864529377,90.9090909090909,22
random_k@k=1,5.0,5.5,0.6094002649188042,0.964747544383276,93.75,16
random_k@k=1,5.5,6.0,0.374904727935791,0.4534955247047267,100.0,5
random_k@k=3,0.0,0.5,0.19682185414403797,0.2645647956661504,99.55371331708868,77364
random_k@k=3,0.5,1.0,0.16326779940806888,0.2148401081062361,99.70968181906747,51333
random_k@k=3,1.0,1.5,0.1723587850320756,0.22649366072988772,99.8321711853909,50054
random_k@k=3,1.5,2.0,0.16428621554498396,0.22433736995578527,99.63024809160305,41922
random_k@k=3,2.0,2.5,0.22298266111433795,0.33698280048866,98.17942469820463,35710
random_k@k=3,2.5,3.0,0.438444120463398,0.5995777634654756,92.5,1801
random_k@k=3,3.0,3.5,0.442083411397356,0.6319331787396051,92.12121212121212,495
random_k@k=3,3.5,4.0,0.5507374690129205,0.8123968856550512,85.47008547008546,117
random_k@k=3,4.0,4.5,0.3721191335368801,0.8219235256928188,94.5945945945946,37
random_k@k=3,4.5,5.0,0.5351421765305779,1.238598247740154,90.9090909090909,22
random_k@k=3,5.0,5.5,0.5989569164812565,1.1035438353132285,93.75,16
random_k@k=3,5.5,6.0,0.3063986778259277,0.3588649003977297,100.0,5
random_k@k=5,0.0,0.5,0.19683783101783248,0.2646589709750942,99.55503760991631,77364
random_k@k=5,0.5,1.0,0.1632123954773711,0.21472514448623584,99.71163026323481,51333
random_k@k=5,1.0,1.5,0.17235373048293517,0.22635955773403077,99.8321711853909,50054
random_k@k=5,1.5,2.0,0.16422277496167892,0.22424218744231766,99.63024809160305,41922
random_k@k=5,2.0,2.5,0.22297429569601682,0.3368448330807362,98.17942469820463,35710
random_k@k=5,2.5,3.0,0.43704115097059165,0.5992849805543208,92.44444444444444,1801
random_k@k=5,3.0,3.5,0.43849277870823644,0.6298658758901633,92.12121212121212,495
random_k@k=5,3.5,4.0,0.5523928601517635,0.8110624785039876,84.61538461538461,117
random_k@k=5,4.0,4.5,0.3476288270305943,0.7988897587480185,97.2972972972973,37
random_k@k=5,4.5,5.0,0.5179995704780925,1.0026988341560397,90.9090909090909,22
random_k@k=5,5.0,5.5,0.6071890033781528,1.0992955036854932,93.75,16
random_k@k=5,5.5,6.0,0.5257266998291016,0.5928649248282682,100.0,5
random_k@k=7,0.0,0.5,0.19681818869952766,0.2645184768962241,99.55371331708868,77364
random_k@k=7,0.5,1.0,0.16318991314609255,0.21477795574877692,99.70968181906747,51333
