roi_policy,dataset,mae_um,rmse_um,within_1um_pct,catastrophic_wrong_direction_pct,n_fov
center_top1,bma,0.3110894824347793,0.4968604751680854,97.03264094955489,1.483679525222552,342
center_top1,pbs,0.3556660846719202,0.701331184435204,95.34591194968553,1.8867924528301887,804
center_top1,wbc,0.18551003753197773,0.2572080542507425,99.40005081002911,0.15946532215512693,257730
random_k@k=1,bma,0.3841150916580643,0.7560306266940316,95.53571428571429,3.869047619047619,342
random_k@k=1,pbs,0.40708896416792156,0.8118831542144672,94.4792973651192,2.3839397741530743,804
random_k@k=1,wbc,0.18551003753197773,0.2572080542507425,99.40005081002911,0.15946532215512693,257730
random_k@k=3,bma,0.2457801481785133,0.32767192954397256,99.12280701754386,0.29239766081871343,342
random_k@k=3,pbs,0.345720323386477,0.7259796463798579,95.8955223880597,1.616915422885572,804
random_k@k=3,wbc,0.18551003753197773,0.2572080542507425,99.40005081002911,0.15946532215512693,257730
random_k@k=5,bma,0.23777223278207388,0.3376924791403839,98.83040935672514,0.5847953216374269,342
random_k@k=5,pbs,0.3379176108546518,0.7056273451573943,96.14427860696517,1.3681592039800996,804
random_k@k=5,wbc,0.18551003753197773,0.2572080542507425,99.40005081002911,0.15946532215512693,257730
random_k@k=7,bma,0.22896098532871892,0.30268111930136854,99.41520467836257,0.0,342
random_k@k=7,pbs,0.32679904982521757,0.6864694545016309,96.01990049751244,1.1194029850746268,804
random_k@k=7,wbc,0.18551003753197773,0.2572080542507425,99.40005081002911,0.15946532215512693,257730
focus_only_topk@k=1,bma,0.4046771170119562,0.5595932437768713,95.26627218934911,2.366863905325444,342
focus_only_topk@k=1,pbs,0.43457133173942564,0.8485364248297869,93.16455696202532,3.1645569620253164,804
focus_only_topk@k=1,wbc,0.18551003753197773,0.2572080542507425,99.40005081002911,0.15946532215512693,257730
focus_only_topk@k=3,bma,0.33588566252014096,0.459096225138431,98.24561403508771,1.1695906432748537,342
focus_only_topk@k=3,pbs,0.3754036875803079,0.7598593831161362,94.27860696517413,2.6119402985074625,804
focus_only_topk@k=3,wbc,0.18551003753197773,0.2572080542507425,99.40005081002911,0.15946532215512693,257730
focus_only_topk@k=5,bma,0.31303619493169393,0.44137747760152113,97.6608187134503,1.461988304093567,342
focus_only_topk@k=5,pbs,0.35445796991165596,0.7324224265742111,94.90049751243781,1.9900497512437811,804
focus_only_topk@k=5,wbc,0.18551003753197773,0.2572080542507425,99.40005081002911,0.15946532215512693,257730
focus_only_topk@k=7,bma,0.28669150426373846,0.39987128175708825,99.12280701754386,0.5847953216374269,342
focus_only_topk@k=7,pbs,0.3457634418239048,0.731348472592528,95.39800995024875,2.1144278606965177,804
focus_only_topk@k=7,wbc,0.18551003753197773,0.2572080542507425,99.40005081002911,0.15946532215512693,257730
occupancy_only_topk@k=1,bma,0.41842119744014455,0.6504824120479729,94.37869822485207,1.7751479289940828,342
occupancy_only_topk@k=1,pbs,0.42547298288465446,0.8239401580163452,94.83627204030228,2.644836272040302,804
occupancy_only_topk@k=1,wbc,0.18551003753197773,0.2572080542507425,99.40005081002911,0.15946532215512693,257730
occupancy_only_topk@k=3,bma,0.30411250793445876,0.40566140078859125,97.953216374269,0.5847953216374269,342
occupancy_only_topk@k=3,pbs,0.36573542491417027,0.7595577611851309,95.77114427860697,1.9900497512437811,804
occupancy_only_topk@k=3,wbc,0.18551003753197773,0.2572080542507425,99.40005081002911,0.15946532215512693,257730
occupancy_only_topk@k=5,bma,0.2721900243682471,0.3490896556280212,99.41520467836257,0.5847953216374269,342
occupancy_only_topk@k=5,pbs,0.3405385297625812,0.7209654272577862,96.39303482587064,1.7412935323383085,804
occupancy_only_topk@k=5,wbc,0.18551003753197773,0.2572080542507425,99.40005081002911,0.15946532215512693,257730
occupancy_only_topk@k=7,bma,0.2608620068657468,0.33440921713309657,99.12280701754386,0.29239766081871343,342
occupancy_only_topk@k=7,pbs,0.3220939995415175,0.6969180150423198,96.39303482587064,1.3681592039800996,804
occupancy_only_topk@k=7,wbc,0.18551003753197773,0.2572080542507425,99.40005081002911,0.15946532215512693,257730
hybrid_proposed,bma,0.19221961968823484,0.26762099766682584,99.41520467836257,0.0,342
hybrid_proposed,pbs,0.30566445226544764,0.6878334959821315,96.26865671641791,1.2437810945273633,804
hybrid_proposed,wbc,0.18551003753197773,0.2572080542507425,99.40005081002911,0.15946532215512693,257730
all_rois,bma,0.1907419598067713,0.2637720526947042,99.70760233918129,0.0,342
all_rois,pbs,0.30867979445712485,0.6879287974660777,96.51741293532339,1.2437810945273633,804
all_rois,wbc,0.18551003753197773,0.2572080542507425,99.40005081002911,0.15946532215512693,257730
legacy_adaptive,bma,0.20985211449408392,0.2875322004516044,99.41520467836257,0.0,342
legacy_adaptive,pbs,0.3133340253684651,0.7033845525258248,96.14427860696517,1.4925373134328357,804
legacy_adaptive,wbc,0.18551003753197773,0.2572080542507425,99.40005081002911,0.15946532215512693,257730
cnn_adaptive,bma,0.19221961968823484,0.26762099766682584,99.41520467836257,0.0,342
cnn_adaptive,pbs,0.30566445226544764,0.6878334959821315,96.26865671641791,1.2437810945273633,804
cnn_adaptive,wbc,0.18551003753197773,0.2572080542507425,99.40005081002911,0.15946532215512693,257730
