roi_policy,perturbation_type,perturbation_level,jaccard,delta_abs_error_um,dataset,fov_id,delta_mae_um
random_k@k=5,brightness,-0.05,1.0,0.4510209560394287,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,0.4510209560394287
random_k@k=5,contrast,0.9,1.0,0.4511604309082031,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,0.4511604309082031
random_k@k=5,contrast,1.1,1.0,0.4509906768798828,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,0.4509906768798828
random_k@k=7,blur,0.8,1.0,1.0878746509552002,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,1.0878746509552002
random_k@k=7,blur,1.2,1.0,4.092058420181274,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,4.092058420181274
random_k@k=7,noise,0.01,1.0,0.14440560340881348,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,0.14440560340881348
random_k@k=7,noise,0.02,1.0,-0.32851409912109375,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,-0.32851409912109375
random_k@k=7,brightness,0.05,1.0,0.4810957908630371,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,0.4810957908630371
random_k@k=7,brightness,-0.05,1.0,0.48098158836364746,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,0.48098158836364746
random_k@k=7,contrast,0.9,1.0,0.4811210632324219,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,0.4811210632324219
random_k@k=7,contrast,1.1,1.0,0.48095130920410156,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,0.48095130920410156
focus_only_topk@k=1,blur,0.8,1.0,4.09207546710968,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,4.09207546710968
focus_only_topk@k=1,blur,1.2,1.0,0.5323301553726196,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,0.5323301553726196
focus_only_topk@k=1,noise,0.01,0.0,-0.28595900535583496,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,-0.28595900535583496
focus_only_topk@k=1,noise,0.02,0.0,0.4021139144897461,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,0.4021139144897461
focus_only_topk@k=1,brightness,0.05,1.0,0.23027396202087402,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,0.23027396202087402
focus_only_topk@k=1,brightness,-0.05,1.0,0.23035168647766113,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,0.23035168647766113
focus_only_topk@k=1,contrast,0.9,1.0,0.2304079532623291,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,0.2304079532623291
focus_only_topk@k=1,contrast,1.1,1.0,0.23029327392578125,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,0.23029327392578125
focus_only_topk@k=3,blur,0.8,0.5,3.566832423210144,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,3.566832423210144
focus_only_topk@k=3,blur,1.2,0.5,0.8436110019683838,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,0.8436110019683838
focus_only_topk@k=3,noise,0.01,1.0,-0.19907069206237793,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,-0.19907069206237793
focus_only_topk@k=3,noise,0.02,1.0,-0.6716299057006836,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,-0.6716299057006836
focus_only_topk@k=3,brightness,0.05,0.5,0.6775113344192505,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,0.6775113344192505
focus_only_topk@k=3,brightness,-0.05,1.0,0.18885517120361328,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,0.18885517120361328
focus_only_topk@k=3,contrast,0.9,0.5,0.6773390769958496,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,0.6773390769958496
focus_only_topk@k=3,contrast,1.1,1.0,0.18871426582336426,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,0.18871426582336426
focus_only_topk@k=5,blur,0.8,0.6666666666666666,3.9348723888397217,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,3.9348723888397217
focus_only_topk@k=5,blur,1.2,0.6666666666666666,0.8434807062149048,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,0.8434807062149048
focus_only_topk@k=5,noise,0.01,1.0,-0.19847965240478516,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,-0.19847965240478516
focus_only_topk@k=5,noise,0.02,0.6666666666666666,-0.6713993549346924,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,-0.6713993549346924
focus_only_topk@k=5,brightness,0.05,0.6666666666666666,0.18186688423156738,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,0.18186688423156738
focus_only_topk@k=5,brightness,-0.05,1.0,0.18935370445251465,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,0.18935370445251465
focus_only_topk@k=5,contrast,0.9,0.6666666666666666,0.18177318572998047,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,0.18177318572998047
focus_only_topk@k=5,contrast,1.1,1.0,0.1891477108001709,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,0.1891477108001709
focus_only_topk@k=7,blur,0.8,0.5555555555555556,0.37861740589141846,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,0.37861740589141846
focus_only_topk@k=7,blur,1.2,0.5555555555555556,0.47452449798583984,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,0.47452449798583984
focus_only_topk@k=7,noise,0.01,1.0,-0.08973193168640137,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,-0.08973193168640137
focus_only_topk@k=7,noise,0.02,0.5555555555555556,-0.18810391426086426,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,-0.18810391426086426
focus_only_topk@k=7,brightness,0.05,0.75,0.6004350185394287,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,0.6004350185394287
focus_only_topk@k=7,brightness,-0.05,1.0,0.18935370445251465,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,0.18935370445251465
focus_only_topk@k=7,contrast,0.9,0.75,0.6005812883377075,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,0.6005812883377075
focus_only_topk@k=7,contrast,1.1,1.0,0.1891477108001709,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,0.1891477108001709
occupancy_only_topk@k=1,blur,0.8,1.0,0.8168795108795166,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,0.8168795108795166
occupancy_only_topk@k=1,blur,1.2,1.0,,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,
occupancy_only_topk@k=1,noise,0.01,1.0,-0.057045936584472656,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,-0.057045936584472656
occupancy_only_topk@k=1,noise,0.02,1.0,0.7640104293823242,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,0.7640104293823242
occupancy_only_topk@k=1,brightness,0.05,1.0,0.3237953186035156,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,0.3237953186035156
occupancy_only_topk@k=1,brightness,-0.05,1.0,0.3236234188079834,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,0.3236234188079834
occupancy_only_topk@k=1,contrast,0.9,1.0,0.32364213466644287,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,0.32364213466644287
occupancy_only_topk@k=1,contrast,1.1,1.0,0.323469877243042,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,0.323469877243042
occupancy_only_topk@k=3,blur,0.8,1.0,0.7528400421142578,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,0.7528400421142578
occupancy_only_topk@k=3,blur,1.2,1.0,4.297340512275696,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,4.297340512275696
occupancy_only_topk@k=3,noise,0.01,1.0,0.13510942459106445,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,0.13510942459106445
occupancy_only_topk@k=3,noise,0.02,1.0,0.9087398052215576,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,0.9087398052215576
occupancy_only_topk@k=3,brightness,0.05,1.0,0.3672068119049072,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,0.3672068119049072
occupancy_only_topk@k=3,brightness,-0.05,0.5,0.3674280643463135,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,0.3674280643463135
occupancy_only_topk@k=3,contrast,0.9,1.0,0.36725831031799316,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,0.36725831031799316
occupancy_only_topk@k=3,contrast,1.1,1.0,0.3674647808074951,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,0.3674647808074951
occupancy_only_topk@k=5,blur,0.8,1.0,0.4084799289703369,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,0.4084799289703369
occupancy_only_topk@k=5,blur,1.2,1.0,4.305809259414673,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,4.305809259414673
occupancy_only_topk@k=5,noise,0.01,1.0,0.07569694519042969,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,0.07569694519042969
occupancy_only_topk@k=5,noise,0.02,1.0,0.7607316970825195,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,0.7607316970825195
occupancy_only_topk@k=5,brightness,0.05,0.42857142857142855,0.37598443031311035,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,0.37598443031311035
occupancy_only_topk@k=5,brightness,-0.05,0.42857142857142855,0.375957727432251,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,0.375957727432251
occupancy_only_topk@k=5,contrast,0.9,0.6666666666666666,0.06759381294250488,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,0.06759381294250488
occupancy_only_topk@k=5,contrast,1.1,0.6666666666666666,0.02936697006225586,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,0.02936697006225586
occupancy_only_topk@k=7,blur,0.8,1.0,0.4960818290710449,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,0.4960818290710449
occupancy_only_topk@k=7,blur,1.2,1.0,0.4952857494354248,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,0.4952857494354248
occupancy_only_topk@k=7,noise,0.01,1.0,0.3522467613220215,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,0.3522467613220215
occupancy_only_topk@k=7,noise,0.02,0.75,1.1269466876983643,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,1.1269466876983643
occupancy_only_topk@k=7,brightness,0.05,0.5555555555555556,0.46043944358825684,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,0.46043944358825684
occupancy_only_topk@k=7,brightness,-0.05,0.75,0.27715611457824707,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,0.27715611457824707
occupancy_only_topk@k=7,contrast,0.9,0.5555555555555556,0.4605062007904053,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,0.4605062007904053
occupancy_only_topk@k=7,contrast,1.1,0.75,0.23891925811767578,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,0.23891925811767578
hybrid_proposed,blur,0.8,0.9649122807017544,0.59564208984375,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,0.59564208984375
hybrid_proposed,blur,1.2,0.9649122807017544,0.8033828735351562,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,0.8033828735351562
hybrid_proposed,noise,0.01,0.9310344827586207,-0.2943272590637207,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,-0.2943272590637207
hybrid_proposed,noise,0.02,0.8666666666666667,0.2689478397369385,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,0.2689478397369385
hybrid_proposed,brightness,0.05,0.7777777777777778,0.2750232219696045,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,0.2750232219696045
hybrid_proposed,brightness,-0.05,0.8360655737704918,0.341630220413208,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,0.341630220413208
hybrid_proposed,contrast,0.9,0.8666666666666667,0.27505922317504883,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,0.27505922317504883
hybrid_proposed,contrast,1.1,0.9310344827586207,0.3377082347869873,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,0.3377082347869873
all_rois,blur,0.8,1.0,0.5307474136352539,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,0.5307474136352539
all_rois,blur,1.2,1.0,0.7045059204101562,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,0.7045059204101562
