roi_policy,available,avg_num_selected_rois,latency_ms_per_fov,mae_um,rmse_um
hybrid_proposed,1,1.2434679151408397,9.73820427270011,0.18589485637137199,0.2596851611709936
cnn_adaptive,1,1.2434679151408397,9.736626274239548,0.18589485637137199,0.2596851611709936
all_rois,1,1.4382561535252398,11.23619501468605,0.18590232317283442,0.25968071039031565
legacy_adaptive,1,1.1484494507022667,11.558514798372562,0.18594231396880712,0.2598437512242982
random_k@k=7,1,1.0265609790015298,8.026417490610978,0.18600986667672917,0.2597250975029405
occupancy_only_topk@k=7,1,1.0265609790015298,8.033846956866395,0.1860375992106009,0.25986389581219105
random_k@k=5,1,1.017707319334353,7.9576712760721104,0.18605637532726638,0.25994306087020874
random_k@k=3,1,1.0088536596671767,7.887888889790065,0.1860914416808649,0.26010127424907364
occupancy_only_topk@k=5,1,1.017707319334353,7.964393103455555,0.18611037551996776,0.2600947212559571
focus_only_topk@k=7,1,1.0265609790015298,8.033737080040222,0.18614601870976688,0.26028263647599914
center_top1,1,1.0,7.810523067402967,0.18620110101148646,0.2602112851633055
focus_only_topk@k=5,1,1.017707319334353,7.965292798642954,0.1862082763849938,0.2603813243023978
occupancy_only_topk@k=3,1,1.0088536596671767,7.896356160942832,0.18623168163582537,0.2605471735324599
focus_only_topk@k=3,1,1.0088536596671767,7.896061695836852,0.18630420937716444,0.2606679000879584
random_k@k=1,1,1.0,7.813804938216192,0.1864568899247557,0.2620226661908783
occupancy_only_topk@k=1,1,1.0,9.956300513104209,0.18655777360679474,0.26176054276426364
focus_only_topk@k=1,1,1.0,9.79735833565631,0.1865639473053407,0.26170763237271966
