method,scope_label,weighted_mae_um,macro_dataset_mae_um,domain_gap_mae,largest_dataset_share_pct
proposed_two_stage_roi,pooled_full_pipeline,0.186649471399281,0.2955900399681463,0.1792220494814199,99.55731701664116
direct_single_stage_regression,held_out_test_subset,0.19223286261699185,0.43644785758768784,0.5375017152470809,99.56732255073658
classical_focus_best,held_out_test_subset,0.8721519046789931,1.6132688276807745,1.3242742291644363,99.56732255073658
center_crop_inference_only,pooled_inference_probe,0.18620110096758594,0.2840885338210363,0.17015604355811043,99.55731701664116
full_field_tiled_proxy,pooled_proxy_probe,0.18590232313620184,0.22831059716382232,0.12316975532488977,99.55731701664116
