roi_policy,available,selection_backend,K_effective_mean,latency_ms_per_fov,coverage_pct,uncertain_pct,catastrophic_wrong_direction_pct,bias_um,mae_um,rmse_um,median_abs_error_um,p95_abs_error_um,within_0.5um_pct,within_1um_pct,within_2um_pct,stageA_balanced_acc,stageA_auroc,stageB_mae_um,n_fov
hybrid_proposed,1,"keras_model,single_roi",1.2434679151408397,9.73820427270011,99.27571501413804,0.724284985861957,0.1626452815358695,0.0048686980473859,0.1858948563713719,0.2596851611709936,0.1433645725250247,0.4646048069000243,96.18367243707225,99.39027474601266,99.94902743569092,0.9630940923175316,0.9824202944495216,0.2126794642251389,258876
cnn_adaptive,1,"keras_model,single_roi",1.2434679151408397,9.736626274239548,99.27571501413804,0.724284985861957,0.1626452815358695,0.0048686980473859,0.1858948563713719,0.2596851611709936,0.1433645725250247,0.4646048069000243,96.18367243707225,99.39027474601266,99.94902743569092,0.9630940923175316,0.9824202944495216,0.2126794642251389,258876
all_rois,1,"all,single_roi",1.4382561535252398,11.23619501468605,99.27571501413804,0.724284985861957,0.1626452815358695,0.0048989701002072,0.1859023231728344,0.2596807103903156,0.1433730125427246,0.4646566390991211,96.1797814016288,99.3914420566457,99.94863833214656,0.9630849230529068,0.982253439178372,0.2310198669083073,258876
legacy_adaptive,1,"legacy_rin,single_roi",1.148449450702267,11.558514798372562,99.27571501413804,0.724284985861957,0.1634234886245578,0.0048629697173965,0.1859423139688071,0.2598437512242982,0.1434174060821531,0.4647226095199586,96.1797814016288,99.38988564246831,99.94786012505789,0.9630650484109706,0.9824145953854024,0.2042585396227444,258876
random_k@k=7,1,"random_seeded,single_roi",1.0265609790015298,8.026417490610978,99.27571501413804,0.724284985861957,0.1622561779915253,0.0048578501846767,0.1860098666767291,0.2597250975029405,0.1434848308563232,0.4648298263549804,96.17355574491928,99.38949653892396,99.94863833214656,0.9631124308467816,0.9824802216583612,0.1886420318842756,258876
occupancy_only_topk@k=7,1,"keras_model,single_roi",1.0265609790015298,8.033846956866395,99.27571501413804,0.724284985861957,0.1634234886245578,0.0047783492406292,0.1860375992106009,0.259863895812191,0.1434946775436401,0.4648551940917969,96.17355574491928,99.39027474601266,99.94747102151354,0.9630833869402208,0.9824932004968444,0.1886660046038381,258876
random_k@k=5,1,"random_seeded,single_roi",1.017707319334353,7.9576712760721104,99.27571501413804,0.724284985861957,0.163812592168902,0.0048594359760834,0.1860563753272663,0.2599430608702087,0.1434852361679075,0.4648751974105836,96.16694098466544,99.38910743537964,99.94786012505789,0.9630933163592734,0.9824896481360524,0.1873442577957719,258876
random_k@k=3,1,"random_seeded,single_roi",1.0088536596671769,7.887888889790065,99.27571501413804,0.724284985861957,0.1642016957132462,0.0048601613708328,0.1860914416808649,0.2601012742490736,0.143473669886589,0.4652493476867676,96.163049949222,99.38871833183528,99.94786012505789,0.9630749778300236,0.982490444348081,0.1860018933618994,258876
occupancy_only_topk@k=5,1,"keras_model,single_roi",1.017707319334353,7.964393103455555,99.27571501413804,0.724284985861957,0.1649799028019346,0.0046936808005157,0.1861103755199677,0.2600947212559571,0.1435303628444671,0.4650899767875671,96.16616277757672,99.390663849557,99.9470819179692,0.9630772582933068,0.9825241193986416,0.1873997308614676,258876
focus_only_topk@k=7,1,"handcrafted_focus,single_roi",1.0265609790015298,8.033737080040222,99.27571501413804,0.724284985861957,0.1661472134349672,0.0046304114055512,0.1861460187097668,0.2602826364759991,0.1435256004333496,0.4653306901454925,96.15915891377854,99.3871619176579,99.9455255037918,0.9630398052765488,0.9824894278640308,0.1891712999393164,258876
center_top1,1,"center,single_roi",1.0,7.810523067402967,99.27030701957696,0.7296929804230596,0.1665453894554977,0.0046692827703314,0.1862011010114864,0.2602112851633055,0.1435391664505005,0.4652967393398286,96.157782300272,99.3844046586014,99.94552253615942,0.9630853228799376,0.9824916452010904,0.1845037479178207,258876
focus_only_topk@k=5,1,"handcrafted_focus,single_roi",1.017707319334353,7.965292798642954,99.27571501413804,0.724284985861957,0.1669254205236555,0.004582931962403,0.1862082763849938,0.2603813243023978,0.143553924560547,0.4654751300811766,96.15293325706904,99.3836599857588,99.94591460733616,0.963045918119632,0.982487550316623,0.1878344342012233,258876
occupancy_only_topk@k=3,1,"keras_model,single_roi",1.0088536596671769,7.896356160942832,99.27571501413804,0.724284985861957,0.165758109890623,0.0046151832906126,0.1862316816358253,0.2605471735324599,0.1435737371444702,0.4654403328895569,96.15332236061336,99.38677281411356,99.94513640024746,0.9630566234969432,0.9825074916749365,0.1861717262838834,258876
focus_only_topk@k=3,1,"handcrafted_focus,single_roi",1.0088536596671769,7.896061695836852,99.27571501413804,0.724284985861957,0.1684818347010322,0.0044859634432863,0.1863042093771644,0.2606679000879584,0.1435855746269225,0.4657919406890869,96.14592939327083,99.38249267512576,99.94513640024746,0.96302450736501,0.9824908115335574,0.1863656892261148,258876
random_k@k=1,1,"random_seeded,single_roi",1.0,7.813804938216192,99.27069330490274,0.7293066950972666,0.1712142201192273,0.0046709768471666,0.1864568899247557,0.2620226661908783,0.1436056405305861,0.4657907825708389,96.14145407567668,99.37973757529537,99.94357713200615,0.9630033774603816,0.9824170696248942,0.1846152875403793,258876
occupancy_only_topk@k=1,1,"keras_model,single_roi",1.0,9.956300513104209,99.27030701957696,0.7296929804230596,0.1692692626475269,0.0045088097034298,0.1865577736067947,0.2617605427642636,0.1436777949333191,0.4663511371612543,96.1200372003253,99.37934603695908,99.9431877877091,0.963054940396704,0.9824374051520188,0.1847879929736796,258876
focus_only_topk@k=1,1,"handcrafted_focus,single_roi",1.0,9.79735833565631,99.26876187827376,0.7312381217262319,0.1716066821540724,0.0042936740594966,0.1865639473053407,0.2617076323727196,0.1436393737792967,0.4662895709276199,96.12581376978244,99.3754450683508,99.94318690341385,0.9630137480536742,0.9824083184900884,0.1847536392856998,258876
