roi_policy,focus_bin,stageA_balanced_acc,end_to_end_mae_um,within_0.5um_pct,within_1um_pct,n
center_top1,<=0.5,0.8816256193394688,0.1968717124258984,96.2906208718626,99.54821664464994,77562
center_top1,0.5-1.0,0.9987261351137238,0.163301216160555,98.64164328032427,99.71351730589336,51323
center_top1,1.0-2.0,0.9990016602963236,0.1741724920903083,96.6549131229024,99.52249458345725,117706
center_top1,>2.0,0.9941952573848852,0.33139497188918,80.19543973941367,95.6758957654723,12285
random_k@k=1,<=0.5,0.8815007017949283,0.1969547900249582,96.2814720879237,99.54294470423504,77562
random_k@k=1,0.5-1.0,0.9987064664431836,0.1634839741887143,98.62407670869794,99.7096139229405,51323
random_k@k=1,1.0-2.0,0.998965748646062,0.1743805303408985,96.63874114228422,99.5199415433242,117706
random_k@k=1,>2.0,0.9903675284659272,0.3334617194019131,80.14005374155198,95.65181988437423,12285
random_k@k=3,<=0.5,0.8815091470646272,0.1970012478076739,96.2765816933034,99.54695548804648,77562
random_k@k=3,0.5-1.0,0.9987460673472316,0.1632230471985528,98.64751622395885,99.71547171282133,51323
random_k@k=3,1.0-2.0,0.9990441551374528,0.1740380128291455,96.66256000679722,99.5267428522877,117706
random_k@k=3,>2.0,0.9954032159255984,0.3298749483904041,80.29797280794594,95.72579988602132,12285
random_k@k=5,<=0.5,0.8815685967079983,0.1969796251654703,96.26865671641792,99.54959714700831,77562
random_k@k=5,0.5-1.0,0.9987458022405336,0.1632181169617896,98.6533626956132,99.71547171282133,51323
random_k@k=5,1.0-2.0,0.9990441551374528,0.1740128792229391,96.67105654445814,99.5267428522877,117706
random_k@k=5,>2.0,0.9954453070107064,0.3295359471139698,80.32239680859725,95.7176585524709,12285
random_k@k=7,<=0.5,0.8815980205291621,0.1969447936844501,96.27526086382248,99.54695548804648,77562
random_k@k=7,0.5-1.0,0.998765423934278,0.1631197018740254,98.6670044628067,99.7174205367061,51323
random_k@k=7,1.0-2.0,0.9990561248779486,0.1739928539077368,96.6736055057564,99.5275925060538,117706
random_k@k=7,>2.0,0.9954453070107064,0.3293805432714646,80.33867947569811,95.72579988602132,12285
focus_only_topk@k=1,<=0.5,0.8814985628350709,0.1972177932253601,96.26263293480416,99.53365479886386,77562
focus_only_topk@k=1,0.5-1.0,0.9987064664431836,0.1634065432073507,98.64551460700434,99.70571612324842,51323
focus_only_topk@k=1,1.0-2.0,0.9989483762948792,0.1744707835632047,96.63024453243156,99.51824222135367,117706
focus_only_topk@k=1,>2.0,0.992927968400846,0.3335214909203404,79.9234714646259,95.6525278840674,12285
focus_only_topk@k=3,<=0.5,0.8815091470646272,0.1972212006155022,96.24752344472329,99.539030511161,77562
focus_only_topk@k=3,0.5-1.0,0.9986869371592996,0.1632874063658588,98.6533626956132,99.70767641728216,51323
focus_only_topk@k=3,1.0-2.0,0.9989843064349724,0.174206561555782,96.65066485407196,99.52249458345725,117706
focus_only_topk@k=3,>2.0,0.994165592163222,0.3310871179990134,80.20841813889115,95.7176585524709,12285
focus_only_topk@k=5,<=0.5,0.8815285622783888,0.1971864646881043,96.24488178576146,99.5377096816801,77562
focus_only_topk@k=5,0.5-1.0,0.9987261805467889,0.1631314864916079,98.65920916726756,99.71352288893652,51323
focus_only_topk@k=5,1.0-2.0,0.9989843064349724,0.1741633400580427,96.65746208420067,99.52249458345725,117706
focus_only_topk@k=5,>2.0,0.9954032159255984,0.3303594987550429,80.28169014084507,95.72579988602132,12285
focus_only_topk@k=7,<=0.5,0.8814891298498224,0.1971241691309809,96.25676925108968,99.5482763175274,77562
focus_only_topk@k=7,0.5-1.0,0.9987458022405336,0.163053078304624,98.66115799115234,99.71547171282133,51323
focus_only_topk@k=7,1.0-2.0,0.9989843064349724,0.1741167639230799,96.66256000679722,99.52249458345725,117706
focus_only_topk@k=7,>2.0,0.9954032159255984,0.3302146847309417,80.28169014084507,95.72579988602132,12285
occupancy_only_topk@k=1,<=0.5,0.8815379478731749,0.1972670157214373,96.24174372523116,99.54161162483489,77562
occupancy_only_topk@k=1,0.5-1.0,0.9987261760504852,0.1633927250760141,98.63969441845964,99.71156844402869,51323
occupancy_only_topk@k=1,1.0-2.0,0.9990135916373648,0.1743246289996717,96.63701324632731,99.52248646903384,117706
occupancy_only_topk@k=1,>2.0,0.9928705221822094,0.3345557242971625,79.88926884872171,95.6196059273734,12285
occupancy_only_topk@k=3,<=0.5,0.8815091470646272,0.1970959371362994,96.267335886937,99.54563465856558,77562
occupancy_only_topk@k=3,0.5-1.0,0.9987458022405336,0.1631575357036273,98.655311519498,99.71547171282133,51323
occupancy_only_topk@k=3,1.0-2.0,0.9990202156564606,0.1741983657948218,96.65406346913632,99.52419389098942,117706
occupancy_only_topk@k=3,>2.0,0.994165592163222,0.3309627712869611,80.20027680534072,95.7176585524709,12285
occupancy_only_topk@k=5,<=0.5,0.8815591901016391,0.1970188080087518,96.26865671641792,99.55488046493195,77562
occupancy_only_topk@k=5,0.5-1.0,0.9987458022405336,0.1631033260423685,98.6650556389219,99.71547171282133,51323
occupancy_only_topk@k=5,1.0-2.0,0.9990202156564606,0.1741215183723094,96.6642593143294,99.5250435447555,117706
occupancy_only_topk@k=5,>2.0,0.9954032159255984,0.3298628666143141,80.32239680859725,95.73394121957176,12285
occupancy_only_topk@k=7,<=0.5,0.8815285622783888,0.1970098263229188,96.27922335226522,99.55223880597016,77562
occupancy_only_topk@k=7,0.5-1.0,0.998765423934278,0.1630619490608717,98.66895328669148,99.7174205367061,51323
occupancy_only_topk@k=7,1.0-2.0,0.9990441551374528,0.1740311402366046,96.67105654445814,99.5267428522877,117706
occupancy_only_topk@k=7,>2.0,0.9954032159255984,0.3294343598068689,80.33053814214767,95.7176585524709,12285
hybrid_proposed,<=0.5,0.8815479774921503,0.1968982622690677,96.2884691586316,99.5482763175274,77562
hybrid_proposed,0.5-1.0,0.998765423934278,0.1630260920098526,98.66895328669148,99.7174205367061,51323
hybrid_proposed,1.0-2.0,0.9990561248779486,0.173911262422938,96.6753048132886,99.5275925060538,117706
hybrid_proposed,>2.0,0.9954032159255984,0.3284338236374334,80.44451681185379,95.73394121957176,12285
all_rois,<=0.5,0.8815179516699432,0.1968642502956229,96.28318584070796,99.55223880597016,77562
all_rois,0.5-1.0,0.998765423934278,0.163039818018773,98.66895328669148,99.7174205367061,51323
all_rois,1.0-2.0,0.9990561248779486,0.1739069118429716,96.67275585199032,99.5275925060538,117706
all_rois,>2.0,0.9954032159255984,0.3287840427016337,80.42009281120247,95.73394121957176,12285
legacy_adaptive,<=0.5,0.8814685106339746,0.1969839370041286,96.28450667018888,99.55091797648925,77562
legacy_adaptive,0.5-1.0,0.998765423934278,0.1630206631177946,98.6670044628067,99.7174205367061,51323
legacy_adaptive,1.0-2.0,0.9990441551374528,0.1739466931284464,96.67190619822422,99.5267428522877,117706
legacy_adaptive,>2.0,0.9954032159255984,0.3285818959048215,80.4282341447529,95.7176585524709,12285
cnn_adaptive,<=0.5,0.8815479774921503,0.1968982622690677,96.2884691586316,99.5482763175274,77562
cnn_adaptive,0.5-1.0,0.998765423934278,0.1630260920098526,98.66895328669148,99.7174205367061,51323
cnn_adaptive,1.0-2.0,0.9990561248779486,0.173911262422938,96.6753048132886,99.5275925060538,117706
cnn_adaptive,>2.0,0.9954032159255984,0.3284338236374334,80.44451681185379,95.73394121957176,12285
